City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Gizo,SB,-8.103,156.8419,82.02,74,100,6.82,light rain
160,Broome,US,42.2506,-75.833,68.56,89,75,1.99,broken clouds
161,Storforshei,NO,66.4043,14.5233,58.95,69,28,1.57,scattered clouds
162,Norman Wells,CA,65.282,-126.8329,79.88,28,17,2.37,few clouds
163,Airai,TL,-8.9266,125.4092,70.29,54,39,4.76,scattered clouds
164,Narsaq,GL,60.9167,-46.05,55.62,79,94,2.82,overcast clouds
165,Atuona,PF,-9.8,-139.0333,78.94,76,42,23.96,light rain
166,Boende,CD,-0.2167,20.8667,72.88,70,12,2.42,few clouds
167,Cayenne,GF,4.9333,-52.3333,83.08,81,75,3.0,broken clouds
168,Yellowknife,CA,62.456,-114.3525,71.33,54,100,4.0,overcast clouds
169,Coihaique,CL,-45.5752,-72.0662,39.15,70,90,3.44,overcast clouds
170,Lima,PE,-12.0432,-77.0282,61.05,77,90,8.05,overcast clouds
171,Bambous Virieux,MU,-20.3428,57.7575,68.22,67,92,14.81,overcast clouds
172,Fort Nelson,CA,58.8053,-122.7002,58.28,97,100,8.21,moderate rain
173,Tiksi,RU,71.6872,128.8694,52.88,67,100,1.19,overcast clouds
174,Asyut,EG,27.181,31.1837,85.06,29,0,10.74,clear sky
175,Lagos,NG,6.5833,3.75,75.43,94,93,3.15,light rain
176,Umm Kaddadah,SD,13.6017,26.6876,85.03,44,43,9.28,scattered clouds
177,Churapcha,RU,62.0025,132.4325,87.35,20,38,5.59,scattered clouds
178,Deori Khas,IN,23.4,79.0167,84.25,59,99,14.32,overcast clouds
179,Maragogi,BR,-9.0122,-35.2225,75.11,85,74,9.1,broken clouds
180,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,84,70,8.03,broken clouds
181,Lahij,YE,13.1667,44.5833,86.23,51,7,3.78,clear sky
182,Kamaishi,JP,39.2667,141.8833,67.15,96,100,3.76,overcast clouds
183,Kisangani,CD,0.5167,25.2,71.38,78,29,1.57,scattered clouds
184,Najran,SA,17.4924,44.1277,77.77,31,0,7.31,clear sky
185,Lulea,SE,65.5842,22.1547,55.47,82,34,0.0,scattered clouds
186,Bethel,US,41.3712,-73.414,71.37,91,100,2.55,overcast clouds
187,Tasiilaq,GL,65.6145,-37.6368,42.96,76,100,4.52,light rain
188,Katsuura,JP,35.1333,140.3,75.22,95,100,14.79,moderate rain
189,Pangnirtung,CA,66.1451,-65.7125,43.29,96,100,2.84,overcast clouds
190,Bucerias,MX,20.75,-105.3333,80.58,89,90,3.44,overcast clouds
191,Nanortalik,GL,60.1432,-45.2371,42.93,86,100,4.65,overcast clouds
192,Lorengau,PG,-2.0226,147.2712,83.1,72,94,7.4,overcast clouds
193,Half Moon Bay,US,37.4636,-122.4286,79.57,79,90,8.05,mist
194,Bhadreswar,IN,22.8244,88.3506,80.49,71,92,8.79,overcast clouds
195,Braga,PT,41.5503,-8.4201,60.55,88,58,1.45,broken clouds
196,Verkhnyaya Maksakovka,RU,61.635,50.9674,53.62,100,90,13.42,overcast clouds
197,Soe,ID,-9.8607,124.284,76.71,53,67,9.55,broken clouds
198,Moorhead,US,46.8739,-96.7676,84.22,49,1,6.91,clear sky
199,Grand Gaube,MU,-20.0064,57.6608,68.38,76,89,3.0,overcast clouds
200,Vostok,RU,46.4856,135.8833,69.78,60,100,1.1,overcast clouds
201,Constitucion,CL,-35.3333,-72.4167,49.95,90,8,8.16,clear sky
202,Moga,IN,30.8,75.1667,94.44,19,5,1.66,clear sky
203,Severo-Kurilsk,RU,50.6789,156.125,50.36,79,77,13.67,broken clouds
204,Whitehorse,CA,60.7161,-135.0538,81.01,23,30,10.0,scattered clouds
205,Trat,TH,12.5,102.5,88.25,73,24,6.2,few clouds
206,College,US,64.8569,-147.8028,87.01,26,1,0.0,clear sky
207,Moscow,RU,55.7522,37.6156,66.38,89,100,7.31,overcast clouds
208,Pitimbu,BR,-7.4706,-34.8086,73.99,81,17,11.1,few clouds
209,Souillac,MU,-20.5167,57.5167,68.36,66,61,12.3,broken clouds
210,Barao De Melgaco,BR,-16.1944,-55.9675,63.12,29,0,2.55,clear sky
211,Goure,NE,13.9835,10.2704,87.03,39,19,5.35,few clouds
212,Caravelas,BR,-17.7125,-39.2481,71.28,70,100,11.99,overcast clouds
213,Padang,ID,-0.9492,100.3543,82.45,72,65,2.98,broken clouds
214,Sinnamary,GF,5.3833,-52.95,77.09,87,100,8.05,overcast clouds
215,Piuma,BR,-20.8378,-40.7219,64.08,79,44,3.94,scattered clouds
216,Sorland,NO,67.667,12.6934,50.36,87,57,4.32,broken clouds
217,Saint-Francois,FR,46.4154,3.9054,59.18,98,0,1.14,clear sky
218,Khailar,IN,25.35,78.5333,88.81,53,99,15.79,overcast clouds
219,Qaqortoq,GL,60.7167,-46.0333,55.9,84,99,3.33,overcast clouds
220,Altagracia De Orituco,VE,9.8601,-66.3814,69.82,99,92,3.6,overcast clouds
221,Evensk,RU,61.95,159.2333,62.22,44,34,10.89,scattered clouds
222,Cidreira,BR,-30.1811,-50.2056,58.33,89,43,11.95,scattered clouds
223,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,70,40,21.85,scattered clouds
224,Jinxiang,CN,27.4327,120.6062,80.8,88,100,5.7,overcast clouds
225,Saint-Philippe,RE,-21.3585,55.7679,71.15,70,47,11.05,scattered clouds
226,Sao Sebastiao,BR,-23.76,-45.4097,58.06,89,15,3.13,few clouds
227,Santa Rosa,PH,14.3122,121.1114,88.11,68,98,1.23,overcast clouds
228,La Cruz,MX,23.9167,-106.9,80.47,83,94,4.0,overcast clouds
229,Sokolo,ML,14.7328,-6.1219,94.42,28,36,4.05,scattered clouds
230,Saint-Denis,FR,48.9167,2.3333,62.15,90,0,0.0,clear sky
231,Dire Dawa,ET,9.5931,41.8661,71.06,59,43,12.91,scattered clouds
232,Tadine,NC,-21.55,167.8833,72.37,55,54,20.42,broken clouds
233,Haines Junction,CA,60.7522,-137.5108,78.35,24,3,7.81,clear sky
234,Bourail,NC,-21.5667,165.4833,72.57,55,95,9.17,overcast clouds
235,Brownsville,US,25.9018,-97.4975,83.08,77,1,1.99,clear sky
236,Kuito,AO,-12.3833,16.9333,48.13,39,4,2.82,clear sky
237,Vao,NC,-22.6667,167.4833,69.46,64,77,21.77,broken clouds
238,Tazovskiy,RU,67.4667,78.7,45.66,94,100,30.33,overcast clouds
239,Muros,ES,42.7762,-9.0603,64.9,90,99,4.59,overcast clouds
240,Khatanga,RU,71.9667,102.5,69.39,46,7,9.53,clear sky
241,Warrnambool,AU,-38.3833,142.4833,54.81,66,100,17.56,light rain
242,Muroto,JP,33.2833,134.15,77.02,93,97,10.18,overcast clouds
243,Saskylakh,RU,71.9167,114.0833,64.2,66,100,9.24,overcast clouds
244,Baishishan,CN,43.5833,127.5667,78.55,60,100,3.78,overcast clouds
245,Asfi,MA,32.2994,-9.2372,66.22,75,0,11.34,clear sky
246,Carbonia,IT,39.1672,8.5222,68.85,55,34,5.66,scattered clouds
247,Flagstaff,US,35.1981,-111.6513,81.3,35,20,3.44,few clouds
248,Flinders,AU,-34.5833,150.8552,68.05,68,5,1.99,clear sky
249,Yima,CN,34.7381,111.8839,77.23,66,100,7.52,overcast clouds
250,Tungor,RU,53.3808,142.9564,74.05,44,100,7.61,overcast clouds
251,Cap-Aux-Meules,CA,47.3821,-61.8597,53.11,90,100,26.22,overcast clouds
252,La Asuncion,VE,11.0333,-63.8628,78.22,84,100,4.07,overcast clouds
253,Srednekolymsk,RU,67.45,153.6833,63.77,27,0,9.26,clear sky
254,Ponta Do Sol,PT,32.6667,-17.1,69.71,77,3,1.61,clear sky
255,Ust-Omchug,RU,61.15,149.6333,67.75,44,43,6.22,scattered clouds
256,Togur,RU,58.3631,82.8265,64.94,67,100,11.34,overcast clouds
257,Toamasina,MG,-18.1667,49.3833,67.53,89,67,7.65,light rain
258,Georgetown,MY,5.4112,100.3354,79.9,82,40,1.01,thunderstorm with light rain
259,Kavieng,PG,-2.5744,150.7967,82.02,70,96,2.13,overcast clouds
260,Teya,RU,60.3778,92.6267,63.43,50,100,7.14,overcast clouds
261,Esperance,AU,-33.8667,121.9,53.71,64,100,5.75,overcast clouds
262,Lagoa,PT,39.05,-27.9833,66.99,76,75,18.23,broken clouds
263,Trinidad,BO,-14.8333,-64.9,57.16,48,0,1.9,clear sky
264,Bonthe,SL,7.5264,-12.505,74.1,96,100,4.23,heavy intensity rain
265,Lakes Entrance,AU,-37.8811,147.981,65.17,56,6,3.67,clear sky
266,Auki,SB,-8.7676,160.7034,84.29,67,83,4.0,broken clouds
267,Laguna,US,38.421,-121.4238,95.43,45,1,7.0,clear sky
268,Taltal,CL,-25.4,-70.4833,57.49,81,12,5.01,few clouds
269,Totoral,PE,-17.4053,-70.365,58.19,42,0,0.27,clear sky
270,Quatre Cocos,MU,-20.2078,57.7625,68.09,67,89,14.65,overcast clouds
271,Eirunepe,BR,-6.6603,-69.8736,66.06,71,9,0.78,clear sky
272,Mahebourg,MU,-20.4081,57.7,68.25,66,83,14.61,broken clouds
273,Rocha,UY,-34.4833,-54.3333,47.88,96,100,6.64,overcast clouds
274,Geraldton,AU,-28.7667,114.6,54.01,76,10,5.75,clear sky
275,Saint George,US,37.1041,-113.5841,99.63,14,1,1.99,clear sky
276,San Guillermo,PH,16.7254,121.8098,85.19,71,98,1.12,overcast clouds
277,Moranbah,AU,-22.0016,148.0466,66.24,85,100,4.68,overcast clouds
278,San Patricio,US,28.017,-97.5169,84.83,71,14,8.7,few clouds
279,Khani,GE,41.9563,42.9566,58.57,82,100,4.29,overcast clouds
280,Pouebo,NC,-20.4,164.5667,72.84,68,76,18.61,broken clouds
281,Tigil,RU,57.8,158.6667,65.86,41,1,18.54,clear sky
282,Rio Grande,BR,-32.035,-52.0986,51.91,93,54,8.79,broken clouds
283,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,90,75,11.5,broken clouds
284,Raudeberg,NO,61.9875,5.1352,56.19,87,0,9.04,clear sky
285,Adrar,MR,20.5022,-10.0711,89.22,22,58,9.62,broken clouds
286,Shetpe,KZ,44.1667,52.1167,77.97,42,83,7.23,broken clouds
287,Itaguai,BR,-22.8522,-43.7753,65.84,88,10,3.6,clear sky
288,San Vicente,AR,-26.6167,-54.1333,42.53,89,34,3.11,scattered clouds
289,San Rafael,AR,-34.6177,-68.3301,48.2,37,29,5.86,scattered clouds
290,Bowen,AU,-20.0167,148.2333,74.46,74,16,9.48,few clouds
291,Aswan,EG,24.0934,32.907,90.66,16,0,13.02,clear sky
292,Kalmunai,LK,7.4167,81.8167,81.48,75,48,1.79,scattered clouds
