City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Dwarka,IN,84.6,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
315,Masaki,JP,85.48,fog,33.7876,132.7112,ホテルファンタジアリゾート
317,Shenjiamen,CN,76.69,heavy intensity rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
318,Ajdabiya,LY,85.19,clear sky,30.7554,20.2263,Almadina Hotel
323,Victoria,HK,89.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
324,Port Blair,IN,83.34,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
325,Wattegama,LK,80.37,scattered clouds,6.7989,81.4808,
326,Carutapera,BR,76.17,overcast clouds,-1.195,-46.02,Lidera
332,Tukrah,LY,85.93,clear sky,32.5341,20.5791,Lokta restaurant
333,Taizhou,CN,84.88,overcast clouds,32.4933,119.9106,Thank Inn Chain Hotel Jiangsu Taizhou West Passenger Station Jianhang Store
336,General Teran,MX,83.97,overcast clouds,25.2667,-99.6833,OYO Hotel Garate
337,Kiunga,PG,77.72,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
338,Mitsamiouli,KM,75.74,clear sky,-11.3847,43.2844,Foyer ADM
340,Manggar,ID,82.76,overcast clouds,-2.8833,108.2667,Guest Hotel
344,Tecoanapa,MX,77.41,overcast clouds,16.5167,-98.75,Hotel Manglares
346,Ranong,TH,83.1,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
348,Russell,US,79.83,broken clouds,32.3502,-85.1999,Macs
349,Panama City,PA,81.05,broken clouds,8.9936,-79.5197,Hotel Riande Granada Urban
352,Matara,LK,79.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
354,Ban Nahin,LA,83.03,overcast clouds,18.2418,104.2122,
359,Kendari,ID,78.76,overcast clouds,-3.945,122.4989,Hotel Wixel
364,Buraydah,SA,88.23,clear sky,26.326,43.975,فندق راحة السلام
367,Thio,NC,75.16,broken clouds,-21.6167,166.2167,La Ferme de Thio
368,Saint Anthony,US,78.75,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
371,Ewa Beach,US,85.95,broken clouds,21.3156,-158.0072,Uncle Junior Robert
377,Kahului,US,85.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
379,Korla,CN,85.68,clear sky,41.7597,86.1469,Gulisitan Hotel
381,Abu Zabad,SD,77.79,few clouds,12.35,29.25,حامد محمد نور
383,Pizarro,CO,76.37,overcast clouds,4.9533,-77.366,Hotel Limonar
